learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.301759181,3.997568698353651E-9,10000.0,80.33,70.48178115123514,70.4166040006016,70.00152508769256,10000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
20000.0,0.435553076,5.7700095066510965E-9,20000.0,80.135,70.17046277872898,70.17938902649553,69.80544155646756,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.544467897,7.21286363216117E-9,30000.0,80.03666666666666,70.0314411164905,70.02952509633188,69.70509383378015,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.66110872,9.489994686626727E-9,40000.0,79.96,69.92292140765561,69.93699369936994,69.71894832275612,40000.0,75464.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.776054893,1.2535266273197616E-8,50000.0,80.246,70.35737355719954,70.37492501499699,70.2042293885185,50000.0,102408.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
60000.0,0.900879874,1.7327445352613513E-8,60000.0,80.43666666666667,70.64386374971346,70.61606628783137,70.54158510264519,60000.0,148400.0,23.0,12.0,12.0,4.0,0.0,0.0,1.0
70000.0,0.998327445,2.1467492372764067E-8,70000.0,80.80428571428571,71.19814272969252,71.17946078115952,71.08581511447754,70000.0,164224.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
80000.0,1.094580516,2.5556791220181104E-8,80000.0,81.00125,71.4963462242168,71.48191233863706,71.38957909795948,80000.0,164224.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
90000.0,1.187617513,2.95620217169159E-8,90000.0,81.22111111111111,71.82558171232944,71.82978865257684,71.71854082998662,90000.0,166408.0,25.0,13.0,13.0,4.0,0.0,0.0,1.0
100000.0,1.293744225,3.513891239162948E-8,100000.0,81.388,72.07764572664543,72.07501875468868,71.97663213683451,100000.0,203128.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
110000.0,1.389427732,4.0779913317300376E-8,110000.0,81.55909090909091,72.33391180174699,72.29468566043407,72.24996237978631,110000.0,227888.0,35.0,18.0,18.0,5.0,0.0,0.0,1.0
120000.0,1.483116854,4.659321551361845E-8,120000.0,81.68916666666667,72.53002178027894,72.5024715614011,72.46732742741865,120000.0,239848.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
