learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
10000.0,0.288463114,2.8662205783733065E-9,10000.0,79.62,69.47288860724458,69.6500372300819,69.13056649500152,10000.0,38408.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
20000.0,0.428482135,4.7211290310964815E-9,20000.0,79.57,69.36659738502074,69.72660591242499,69.12264792564044,20000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
30000.0,0.538217449,6.174852675549272E-9,30000.0,79.83333333333333,69.74739293116482,69.97667609547914,69.50451131609456,30000.0,51208.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
40000.0,0.654761575,8.49061761956869E-9,40000.0,79.84750000000001,69.76462347315206,69.94070925159413,69.62583367873695,40000.0,76808.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
50000.0,0.768916191,1.1475227620665812E-8,50000.0,80.028,70.03579718228879,70.20349704601063,69.87177553175441,50000.0,101064.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
60000.0,0.869898238,1.4115436470454766E-8,60000.0,80.33500000000001,70.49868238199365,70.63464410154306,70.3498014776097,60000.0,101064.0,15.0,8.0,8.0,3.0,0.0,0.0,1.0
70000.0,0.964030199,1.6888253239639517E-8,70000.0,80.60714285714286,70.90932861391997,71.01588521650012,70.79577479938902,70000.0,113864.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
80000.0,1.074004293,2.183839119427113E-8,80000.0,80.80874999999999,71.21152112187049,71.27004622092478,71.09316162072601,80000.0,173992.0,27.0,14.0,14.0,4.0,0.0,0.0,1.0
90000.0,1.178658497,2.7273357821721585E-8,90000.0,81.13111111111111,71.69436797677362,71.71834926556306,71.56777390838467,90000.0,200744.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
100000.0,1.273720558,3.221017936662254E-8,100000.0,81.277,71.91321667231033,71.9551834154671,71.77252785357838,100000.0,200744.0,31.0,16.0,16.0,5.0,0.0,0.0,1.0
110000.0,1.367277713,3.733798793389359E-8,110000.0,81.4809090909091,72.21935685683573,72.24961857018309,72.08802049792418,110000.0,211864.0,33.0,17.0,17.0,5.0,0.0,0.0,1.0
120000.0,1.468712676,4.356935139665173E-8,120000.0,81.675,72.50939078059763,72.52658012768455,72.38235183301308,120000.0,237464.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
130000.0,1.552936735,4.878001799454913E-8,130000.0,81.79538461538462,72.68951609572922,72.67110869891567,72.55193050416952,130000.0,239144.0,37.0,19.0,19.0,5.0,0.0,0.0,1.0
140000.0,1.644061236,5.523136589988031E-8,140000.0,81.90285714285714,72.85087743560152,72.834105335392,72.71385954142569,140000.0,273664.0,43.0,22.0,22.0,5.0,0.0,0.0,1.0
150000.0,1.734641279,6.223224540001402E-8,150000.0,81.99866666666667,72.99553035483665,72.94741165980383,72.8751243131385,150000.0,298760.0,47.0,24.0,24.0,5.0,0.0,0.0,1.0
160000.0,1.827254825,6.968451203948508E-8,160000.0,82.108125,73.16043454559914,73.123216163437,73.03867091111154,160000.0,311040.0,49.0,25.0,25.0,6.0,0.0,0.0,1.0
170000.0,1.918782861,7.738433857996846E-8,170000.0,82.18117647058824,73.27013803562242,73.24642749898433,73.15871553129651,170000.0,325184.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,2.012914003,8.561485524054618E-8,180000.0,82.25722222222223,73.38448118365227,73.34340491949686,73.26955590150489,180000.0,337984.0,53.0,27.0,27.0,6.0,0.0,0.0,1.0
190000.0,2.105473706,9.430085512808421E-8,190000.0,82.34210526315789,73.51147485824147,73.47050125333101,73.39265462793335,190000.0,362744.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
200000.0,2.192972243,1.0251190440664276E-7,200000.0,82.4485,73.67074155545671,73.63174736715594,73.54809539957049,200000.0,362744.0,57.0,29.0,29.0,6.0,0.0,0.0,1.0
210000.0,2.288020662,1.1225508700177903E-7,210000.0,82.52142857142857,73.78040419828868,73.74482299840489,73.66608553410387,210000.0,396240.0,63.0,32.0,32.0,7.0,0.0,0.0,1.0
220000.0,2.377607168,1.217975188999913E-7,220000.0,82.58863636363635,73.88081232604236,73.8403857185784,73.76136231308267,220000.0,411736.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
230000.0,2.471513601,1.3291701923583945E-7,230000.0,82.64,73.9574225538027,73.90139160331789,73.82937444287137,230000.0,457712.0,73.0,37.0,37.0,7.0,0.0,0.0,1.0
240000.0,2.563280723,1.441668448106034E-7,240000.0,82.69125000000001,74.03415379216511,73.97620703264487,73.91148708480134,240000.0,473872.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
250000.0,2.654267725,1.5535267028765545E-7,250000.0,82.7464,74.117231062801,74.05894982469012,74.00861679370912,250000.0,475216.0,75.0,38.0,38.0,7.0,0.0,0.0,1.0
260000.0,2.745165878,1.6676536068107104E-7,260000.0,82.78153846153846,74.17025070487861,74.11057136247975,74.07383813522513,260000.0,485328.0,77.0,39.0,39.0,7.0,0.0,0.0,1.0
270000.0,2.84006225,1.7957326470683432E-7,270000.0,82.81296296296297,74.21763466669442,74.14460744711081,74.13451944997186,270000.0,521712.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
280000.0,2.937580848,1.9277746667077558E-7,280000.0,82.85178571428573,74.2758979013408,74.21251913316685,74.19242139209891,280000.0,523392.0,83.0,42.0,42.0,7.0,0.0,0.0,1.0
290000.0,3.0461692,2.0919099284222144E-7,290000.0,82.88344827586207,74.3230189727144,74.26029059456769,74.24920757614272,290000.0,584280.0,95.0,48.0,48.0,8.0,0.0,0.0,1.0
300000.0,3.143383793,2.2449676805554994E-7,300000.0,82.89966666666668,74.34769144555091,74.28817730286734,74.27644510409563,300000.0,608592.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
310000.0,3.236933446,2.392661817284591E-7,310000.0,82.91096774193548,74.36496787164833,74.30769081544564,74.29871629423351,310000.0,610272.0,97.0,49.0,49.0,8.0,0.0,0.0,1.0
320000.0,3.330415389,2.545910009510277E-7,320000.0,82.928125,74.39054385546869,74.33958364647528,74.32245692207901,320000.0,633680.0,101.0,51.0,51.0,8.0,0.0,0.0,1.0
330000.0,3.421338552,2.6976544088194356E-7,330000.0,82.95757575757575,74.4346129038654,74.39306463656729,74.36540240939692,330000.0,645120.0,103.0,52.0,52.0,8.0,0.0,0.0,1.0
340000.0,3.518296474,2.870282211215753E-7,340000.0,82.99441176470587,74.4898641084538,74.44825483246566,74.42282256245105,340000.0,688224.0,111.0,56.0,56.0,8.0,0.0,0.0,1.0
350000.0,3.607705224,3.030831063454971E-7,350000.0,83.02771428571428,74.54017635888593,74.49442254682226,74.47864305415925,350000.0,694112.0,111.0,56.0,56.0,8.0,0.0,0.0,1.0
360000.0,3.701137191,3.2012921025949224E-7,360000.0,83.05694444444444,74.58395204219306,74.535442472519,74.5206566690338,360000.0,705232.0,113.0,57.0,57.0,8.0,0.0,0.0,1.0
370000.0,3.792567371,3.371208066041023E-7,370000.0,83.08783783783784,74.63027110913923,74.57809592680768,74.572104287897,370000.0,718368.0,115.0,58.0,58.0,8.0,0.0,0.0,1.0
380000.0,3.885719235,3.549837373133584E-7,380000.0,83.10526315789474,74.6563149308619,74.59840151934795,74.59357636965159,380000.0,741248.0,119.0,60.0,60.0,9.0,0.0,0.0,1.0
390000.0,3.978546908,3.733347228870873E-7,390000.0,83.12589743589743,74.6868824280889,74.63020289206975,74.62266988531633,390000.0,764160.0,123.0,62.0,62.0,9.0,0.0,0.0,1.0
400000.0,4.073672997,3.930104571552762E-7,400000.0,83.1355,74.70104361097107,74.64004030044885,74.64032630965582,400000.0,799528.0,129.0,65.0,65.0,9.0,0.0,0.0,1.0
410000.0,4.164835361,4.1214840250161177E-7,410000.0,83.15878048780488,74.7359231566956,74.67086318399745,74.68145100670648,410000.0,811488.0,131.0,66.0,66.0,9.0,0.0,0.0,1.0
420000.0,4.258331719,4.320981205974748E-7,420000.0,83.17880952380953,74.76586867257129,74.70117239255455,74.70868937964711,420000.0,824792.0,133.0,67.0,67.0,9.0,0.0,0.0,1.0
430000.0,4.35627391,4.5329099070740046E-7,430000.0,83.18953488372092,74.78236480870781,74.7192484847637,74.7264081675466,430000.0,836416.0,135.0,68.0,68.0,9.0,0.0,0.0,1.0
440000.0,4.448911895,4.739697773679347E-7,440000.0,83.20681818181819,74.80843697379423,74.74001599901547,74.75347998113944,440000.0,862856.0,139.0,70.0,70.0,9.0,0.0,0.0,1.0
450000.0,4.541783885,4.95295683970973E-7,450000.0,83.23355555555555,74.84839039794734,74.78848107356716,74.79589246104922,450000.0,887616.0,143.0,72.0,72.0,9.0,0.0,0.0,1.0
460000.0,4.629103334,5.154224788995088E-7,460000.0,83.25913043478262,74.88648257691813,74.82633610868663,74.83448036966595,460000.0,890976.0,143.0,72.0,72.0,9.0,0.0,0.0,1.0
470000.0,4.720993633,5.368751700745441E-7,470000.0,83.26617021276596,74.8972404029104,74.8408539823292,74.84769308998341,470000.0,902432.0,145.0,73.0,73.0,9.0,0.0,0.0,1.0
